Sw,Researcher,VulnIndividual,VulnGroup,VulnResTot,VulnSwTot,Tot
Adobe Flash Player,Ben Hawkes,1,31,77,228,1447
Adobe Flash Player,Chris Evans,4,16,49,228,1447
Adobe Flash Player,Clement Lecigne,1,0,5,228,1447
Adobe Flash Player,Eduardo Vela,2,0,12,228,1447
Adobe Flash Player,Fermin J. Serna,3,35,55,228,1447
Adobe Flash Player,Google Security Team,1,0,5,228,1447
Adobe Flash Player,Gynvael Coldwind,0,33,202,228,1447
Adobe Flash Player,Ian Beer,8,0,108,228,1447
Adobe Flash Player,James Forshaw,1,0,20,228,1447
Adobe Flash Player,Mateusz Jurczyk,0,64,293,228,1447
Adobe Flash Player,Michele Spagnuolo,1,0,2,228,1447
Adobe Flash Player,Natalie Silvanovich,15,0,15,228,1447
Adobe Flash Player,Rich Cannings,1,0,2,228,1447
Adobe Flash Player,Tavis Ormandy,11,0,29,228,1447
Adobe Reader,Billy Rios,6,0,30,14,1447
Adobe Reader,Gabor Molnar,0,1,1,14,1447
Adobe Reader,Gynvael Coldwind,0,2,202,14,1447
Adobe Reader,James Forshaw,2,0,20,14,1447
Adobe Reader,Krzysztof Kotowicz,0,1,2,14,1447
Adobe Reader,Mateusz Jurczyk,0,2,293,14,1447
Adobe Reader and Acrobat,Billy Rios,1,0,30,119,1447
Adobe Reader and Acrobat,Gynvael Coldwind,0,57,202,119,1447
Adobe Reader and Acrobat,Mateusz Jurczyk,1,57,293,119,1447
Adobe Reader and Acrobat,Tavis Ormandy,3,0,29,119,1447
AMD FX/Opteron CPU firmware,Robert Swiecki,1,0,19,1,1447
Android,Abhishek Arya,0,16,93,50,1447
Android,Chris Palmer,1,0,1,50,1447
Android,Ian Beer,1,0,108,50,1447
Android,Martin Barbella,0,16,18,50,1447
Android,Oliver Chang,0,16,30,50,1447
Apache,Niels Heinen,3,0,7,3,1447
Apache (debian),Niels Heinen,1,0,7,1,1447
Apache Xerces-c,Ben Laurie,1,0,3,1,1447
Apple,Fermin J. Serna,4,0,55,68,1447
Apple,Ian Beer,64,0,108,68,1447
Apple CoreGraphics,Chris Evans,1,0,49,2,1447
Apple CoreGraphics,Felix Groebert,1,0,24,2,1447
Apple CoreGraphics and TypeServer,Felix Groebert,3,0,24,3,1447
Apple FileVault,Felix Groebert,1,0,24,1,1447
Apple ImageIO,Felix Groebert,1,0,24,1,1447
Apple iOS,Abhishek Arya,0,2,93,18,1447
Apple iOS,Chris Evans,0,1,49,18,1447
Apple iOS,Cris Neckar,0,1,8,18,1447
Apple iOS,Emil A Eklund,0,1,3,18,1447
Apple iOS,Erik Wong,0,1,1,18,1447
Apple iOS,Ian Beer,7,0,108,18,1447
Apple iOS,Michal Zalewski,0,1,51,18,1447
Apple iOS,Mihai Parparita,0,1,3,18,1447
Apple iOS,Rohit Makasana,0,1,2,18,1447
Apple iOS,SkyLined,0,1,5,18,1447
Apple iOS,Yuzo Fujishima,0,1,3,18,1447
Apple iTunes,Abhishek Arya,0,2,93,18,1447
Apple iTunes,Adam Barth,0,1,3,18,1447
Apple iTunes,Chris Evans,0,1,49,18,1447
Apple iTunes,Cris Neckar,0,1,8,18,1447
Apple iTunes,Dimitri Glazkov,0,1,2,18,1447
Apple iTunes,Dominic Cooney,0,1,2,18,1447
Apple iTunes,Emil A Eklund,0,1,3,18,1447
Apple iTunes,John Knottenbelt,0,1,1,18,1447
Apple iTunes,Kent Tamura,0,1,2,18,1447
Apple iTunes,Michal Zalewski,0,1,51,18,1447
Apple iTunes,Mihai Parparita,0,1,3,18,1447
Apple iTunes,Philip Rogers,0,1,2,18,1447
Apple iTunes,Raman Tenneti,0,1,2,18,1447
Apple iTunes,Sadrul Habib Chowdhury,0,1,2,18,1447
Apple iTunes,SkyLined,0,2,5,18,1447
Apple iTunes,Yuzo Fujishima,0,1,3,18,1447
Apple MacOS,Felix Groebert,1,0,24,32,1447
Apple MacOS,Ian Beer,26,0,108,32,1447
Apple MacOS,Meder Kydyraliev,3,0,6,32,1447
Apple MacOS,Michal Zalewski,2,0,51,32,1447
Apple Mailing Lists,Drew Hintz,1,0,12,1,1447
Browsers,Abhishek Arya,58,15,93,218,1447
Browsers,Adam Barth,0,2,3,218,1447
Browsers,Adam Klein,0,1,1,218,1447
Browsers,Ben Hawkes,2,12,77,218,1447
Browsers,Billy Rios,5,0,30,218,1447
Browsers,Chris Evans,8,3,49,218,1447
Browsers,Clement Lecigne,3,0,5,218,1447
Browsers,Cris Neckar,2,4,8,218,1447
Browsers,David Levin,0,2,2,218,1447
Browsers,Dimitri Glazkov,0,1,2,218,1447
Browsers,Dominic Cooney,0,1,2,218,1447
Browsers,Eduardo Vela,5,0,12,218,1447
Browsers,Emil A Eklund,0,1,3,218,1447
Browsers,Fermin J. Serna,4,8,55,218,1447
Browsers,Google Inc,1,0,1,218,1447
