Sw,Researcher,Vuln,VulnResTot,VulnSwTot,Tot
Algolia,adrianbelen,2,41,99,13370
Algolia,ahmed_abdalla,1,16,99,13370
Algolia,almaco,1,7,99,13370
Algolia,anasroubi,3,4,99,13370
Algolia,ankitsingh,1,6,99,13370
Algolia,ashish_r_padelkar,1,15,99,13370
Algolia,bnchandrapal,1,1,99,13370
Algolia,bobrov,1,50,99,13370
Algolia,boniao_norwin,1,16,99,13370
Algolia,brdoors2,1,23,99,13370
Algolia,bugs3ra,7,20,99,13370
Algolia,corb3nik,1,3,99,13370
Algolia,ctee,4,4,99,13370
Algolia,daksh,1,15,99,13370
Algolia,dawidczagan,4,124,99,13370
Algolia,djamel-ghorab,1,4,99,13370
Algolia,dkd,3,31,99,13370
Algolia,dly,1,1,99,13370
Algolia,dvl,1,8,99,13370
Algolia,eboda,1,19,99,13370
Algolia,elohim,2,6,99,13370
Algolia,fransrosen,2,151,99,13370
Algolia,girish_s_pattanashetty,1,3,99,13370
Algolia,gokuu,1,19,99,13370
Algolia,harishkumar0394,1,4,99,13370
Algolia,hazimaslam,1,20,99,13370
Algolia,ibram,1,35,99,13370
Algolia,inactive,1,1,99,13370
Algolia,infosechelper,2,11,99,13370
Algolia,introvertmac,1,20,99,13370
Algolia,itmr,1,1,99,13370
Algolia,jayakumar,1,1,99,13370
Algolia,ketan_patil,1,6,99,13370
Algolia,lalka,1,16,99,13370
Algolia,malcolmx,2,10,99,13370
Algolia,mantlecurve,1,1,99,13370
Algolia,michiel,1,10,99,13370
Algolia,mido167,1,1,99,13370
Algolia,molejarka,1,3,99,13370
Algolia,ng1,1,107,99,13370
Algolia,no_thing,1,1,99,13370
Algolia,no0b,1,10,99,13370
Algolia,nullelite,1,28,99,13370
Algolia,opatch,1,2,99,13370
Algolia,paresh_parmar,1,33,99,13370
Algolia,pnig0s,1,3,99,13370
Algolia,pouya,2,23,99,13370
Algolia,quistertow,1,23,99,13370
Algolia,r4j47,1,4,99,13370
Algolia,rajauzairabdullah,1,2,99,13370
Algolia,rishi62,1,1,99,13370
Algolia,rodgodalle,1,4,99,13370
Algolia,sahilsaif,1,39,99,13370
Algolia,sainaen,1,5,99,13370
Algolia,shahmeer-amir,2,118,99,13370
Algolia,shieldin,1,6,99,13370
Algolia,smit,1,7,99,13370
Algolia,stefanofindsbugs,1,29,99,13370
Algolia,strukt,1,22,99,13370
Algolia,syhack,3,8,99,13370
Algolia,vakzz,1,5,99,13370
Algolia,vijay_kumar1110,1,45,99,13370
Algolia,whhackersbr,1,15,99,13370
Algolia,whitecat,1,26,99,13370
Algolia,ysx,1,21,99,13370
Algolia,zenhax,6,22,99,13370
Algolia,ziot,1,17,99,13370
Algolia,zombiehelp54,2,99,99,13370
Alvosec,devil3682116,1,1,8,13370
Alvosec,edio,1,6,8,13370
Alvosec,iampwned,2,8,8,13370
Alvosec,leet-boy,1,8,8,13370
Alvosec,samux,1,9,8,13370
Alvosec,yggdrasil,1,1,8,13370
Alvosec,zephrfish,1,18,8,13370
Anghami,ckmk44,1,6,23,13370
Anghami,esamhacks,3,8,23,13370
Anghami,faisalahmed,1,38,23,13370
Anghami,hunter012,1,10,23,13370
Anghami,ibram,1,35,23,13370
Anghami,jayden,1,9,23,13370
Anghami,ng1,3,107,23,13370
Anghami,paramdham,3,41,23,13370
Anghami,pardeepbattu,1,2,23,13370
Anghami,paulos_,1,43,23,13370
Anghami,robd4k,1,3,23,13370
Anghami,shahmeer-amir,3,118,23,13370
Anghami,shahzaib-1,2,13,23,13370
Anghami,tomvg,1,11,23,13370
Apache httpd (IBB),gianko,1,2,3,13370
Apache httpd (IBB),guido,1,36,3,13370
Apache httpd (IBB),talko,1,2,3,13370
Automattic,0x01337,1,4,266,13370
Automattic,0xmadoc,1,5,266,13370
Automattic,abdullah,3,14,266,13370
Automattic,akshyy,1,8,266,13370
Automattic,ala_arfaoui,1,16,266,13370
Automattic,alku,1,20,266,13370
Automattic,anil_vaghasiya,1,1,266,13370
Automattic,ansariosama,1,2,266,13370
Automattic,aparecekarl,1,28,266,13370
Automattic,attacker911,3,48,266,13370
Automattic,avatar,1,2,266,13370
Automattic,babayaga_,1,4,266,13370
Automattic,batram,4,36,266,13370
Automattic,behindthefirewalls,1,1,266,13370
Automattic,blackpanther_pratik,1,4,266,13370
Automattic,blinkms,1,11,266,13370
Automattic,bobrov,1,50,266,13370
Automattic,bughuntergr,1,3,266,13370
Automattic,ce3c,1,2,266,13370
Automattic,cfg,1,1,266,13370
Automattic,chrisad,1,1,266,13370
Automattic,chriscct7,1,2,266,13370
Automattic,crixu,1,1,266,13370
Automattic,crtc4l,1,1,266,13370
Automattic,csanuragjain,1,5,266,13370
Automattic,cure53,2,2,266,13370
Automattic,d3fa1t,2,26,266,13370
Automattic,darkknighthacker,1,6,266,13370
Automattic,dawidczagan,3,124,266,13370
Automattic,deepankerchawla,4,99,266,13370
Automattic,dermeister,3,3,266,13370
Automattic,dia2diab,1,10,266,13370
Automattic,divyesh_prajapati,2,2,266,13370
Automattic,dushyantsahu,1,14,266,13370
Automattic,dutchgraa,1,5,266,13370
Automattic,dylanjs1030,1,1,266,13370
Automattic,eboda,1,19,266,13370
Automattic,elohim,2,6,266,13370
Automattic,ericlaw,2,6,266,13370
Automattic,estocks,1,1,266,13370
Automattic,ethack,1,3,266,13370
Automattic,exploitprotocol,2,6,266,13370
Automattic,filipposmastro,1,3,266,13370
Automattic,fransrosen,1,151,266,13370
Automattic,geekboy,1,39,266,13370
Automattic,gokuu,7,19,266,13370
Automattic,gorang_joshi,1,6,266,13370
Automattic,harisec,9,74,266,13370
Automattic,hazimaslam,1,20,266,13370
Automattic,hughforsyth,1,1,266,13370
Automattic,hussein98d,2,24,266,13370
Automattic,i1ackerone_,1,4,266,13370
Automattic,isecurity,1,4,266,13370
Automattic,issam_rabhi,5,24,266,13370
Automattic,jamalcom,2,4,266,13370
Automattic,jaypatel,14,23,266,13370
Automattic,jaysonzabate,2,23,266,13370
Automattic,jdgrimes,1,1,266,13370
Automattic,jouko,3,21,266,13370
Automattic,justinph,2,2,266,13370
Automattic,kacperszurek,11,13,266,13370
Automattic,kamikaze,1,5,266,13370
Automattic,karthic,1,55,266,13370
Automattic,kiraak-boy,1,26,266,13370
Automattic,lalka,1,16,266,13370
Automattic,lionheartrox,1,5,266,13370
Automattic,lucio,1,36,266,13370
Automattic,marcs0h,1,2,266,13370
Automattic,maverickrocky02,1,1,266,13370
Automattic,max,1,18,266,13370
Automattic,mazengamal,7,17,266,13370
Automattic,mmyamin,1,2,266,13370
Automattic,mnz_,1,10,266,13370
Automattic,mohamed_fouad,3,4,266,13370
Automattic,mohammed_fayez,1,15,266,13370
Automattic,mz7,1,1,266,13370
Automattic,naddara,2,2,266,13370
Automattic,ng1,4,107,266,13370
Automattic,niks,1,18,266,13370
Automattic,olafkristoff,1,1,266,13370
Automattic,omsairam,1,2,266,13370
Automattic,opnsec,1,17,266,13370
Automattic,paragonie-scott,1,1,266,13370
Automattic,paresh_parmar,4,33,266,13370
Automattic,paulos_,1,43,266,13370
Automattic,peter-676,2,9,266,13370
Automattic,prayas,6,18,266,13370
Automattic,psych0tr1a,1,15,266,13370
Automattic,raidendev,1,6,266,13370
Automattic,reactors08,28,107,266,13370
Automattic,robin,2,28,266,13370
Automattic,rodgodalle,3,4,266,13370
Automattic,russtone,1,1,266,13370
Automattic,saeedhashem,1,23,266,13370
Automattic,sainaen,1,5,266,13370
Automattic,samcrawford,1,1,266,13370
Automattic,secbro,1,9,266,13370
Automattic,sergeym,3,181,266,13370
Automattic,shailesh4594,2,37,266,13370
Automattic,shawarkhan,1,3,266,13370
Automattic,siddiki,1,40,266,13370
Automattic,silent,1,1,266,13370
Automattic,skansing,2,5,266,13370
Automattic,soufian,1,6,266,13370
Automattic,soulhunter,1,12,266,13370
Automattic,spam404,2,3,266,13370
Automattic,stewie,1,13,266,13370
Automattic,strukt,1,22,266,13370
Automattic,suhas_gaikwad,1,4,266,13370
Automattic,symbiansymoh,2,11,266,13370
Automattic,thegulshankumar,1,1,266,13370
Automattic,todayisnew,2,69,266,13370
Automattic,try_to_hack,1,15,266,13370
Automattic,tunnelshade,1,8,266,13370
Automattic,valievkarim,8,17,266,13370
Automattic,vnd,2,2,266,13370
Automattic,voodookobra,1,2,266,13370
Automattic,vortfu,8,9,266,13370
Automattic,w00tr00t,1,22,266,13370
Automattic,xlimbolandx,1,18,266,13370
Automattic,xorb,1,14,266,13370
Automattic,xss,1,1,266,13370
Automattic,xtross1,1,11,266,13370
Automattic,yassineaboukir,1,45,266,13370
Automattic,ysx,1,21,266,13370
Automattic,zoczus,1,24,266,13370
Badoo,aaditya_purani,1,6,93,13370
Badoo,abiral,1,3,93,13370
Badoo,activist,1,1,93,13370
Badoo,adiivascu,1,26,93,13370
Badoo,alvares97,2,2,93,13370
Badoo,bagipro,1,6,93,13370
Badoo,bekeit,1,1,93,13370
Badoo,betterknowme,1,1,93,13370
Badoo,bugdisclose,1,5,93,13370
Badoo,buglloc,1,3,93,13370
Badoo,c0rte,2,3,93,13370
Badoo,cuirmousthack,1,3,93,13370
Badoo,d3ad1y_b0073r,1,4,93,13370
Badoo,dalat,3,4,93,13370
Badoo,daniyal_nasir,1,9,93,13370
Badoo,darshitvarotaria,2,2,93,13370
Badoo,dejavuln,2,7,93,13370
Badoo,footstep,1,4,93,13370
Badoo,ganjar,1,1,93,13370
Badoo,hammad,1,29,93,13370
Badoo,harry_mg,1,35,93,13370
Badoo,hudmi,6,18,93,13370
Badoo,iet91,1,1,93,13370
Badoo,karthic,1,55,93,13370
Badoo,kiraak-boy,3,26,93,13370
Badoo,kiranreddy,1,5,93,13370
Badoo,koty,1,2,93,13370
Badoo,mandeeps13k,1,4,93,13370
Badoo,mandy1394,1,4,93,13370
Badoo,meals,1,219,93,13370
Badoo,megabugscleaner,1,1,93,13370
Badoo,mishre,1,12,93,13370
Badoo,ng1,3,107,93,13370
Badoo,night_hacker,1,1,93,13370
Badoo,nikitchenko,4,4,93,13370
Badoo,nisagarw,1,3,93,13370
Badoo,nullelite,1,28,93,13370
Badoo,oja,1,16,93,13370
Badoo,paulos_,1,43,93,13370
Badoo,pk28,1,1,93,13370
Badoo,pwnsdx,2,2,93,13370
Badoo,rak007,1,1,93,13370
Badoo,rohan_x3,1,3,93,13370
Badoo,saeedhashem,1,23,93,13370
Badoo,secator,4,16,93,13370
Badoo,sergeym,2,181,93,13370
Badoo,sl1m,1,12,93,13370
Badoo,stefanofindsbugs,3,29,93,13370
Badoo,symbiansymoh,1,11,93,13370
Badoo,temmyscript,1,26,93,13370
Badoo,thehuricane6,1,2,93,13370
Badoo,thesc0rpi0n,1,4,93,13370
Badoo,tikoo_sahil,1,3,93,13370
Badoo,tj6612,1,1,93,13370
Badoo,tsug0d,2,5,93,13370
Badoo,vagg-a-bond,1,41,93,13370
Badoo,vashot,1,1,93,13370
Badoo,vijay_kumar,1,15,93,13370
Badoo,vuln_slayer,2,4,93,13370
Badoo,w00tr00t,2,22,93,13370
Badoo,whhackersbr,3,15,93,13370
Badoo,zombiehelp54,2,99,93,13370
Bime,4lemon,2,42,39,13370
Bime,agarri_fr,3,21,39,13370
Bime,blacksdawn,1,5,39,13370
Bime,bluesman9,1,1,39,13370
Bime,deepankerchawla,1,99,39,13370
Bime,dkd,1,31,39,13370
Bime,faisalahmed,1,38,39,13370
Bime,gopinath6,2,35,39,13370
Bime,ibram,3,35,39,13370
Bime,jackds,1,22,39,13370
Bime,jobert,2,11,39,13370
Bime,michiel,1,10,39,13370
Bime,mlitchfield,3,220,39,13370
Bime,niks,3,18,39,13370
Bime,orange,1,11,39,13370
Bime,sameoldstory,1,7,39,13370
Bime,sasi2103,1,25,39,13370
Bime,techbrunch,1,2,39,13370
Bime,techguynoob,1,16,39,13370
Bime,wtm,1,16,39,13370
Bime,xlimbolandx,1,18,39,13370
Bime,yassineaboukir,3,45,39,13370
Bime,ysx,1,21,39,13370
Bime,zenhax,2,22,39,13370
Bime,zombiehelp54,1,99,39,13370
Binary.com,0x90,2,2,72,13370
Binary.com,1n3,1,4,72,13370
Binary.com,ameer0x0a,1,1,72,13370
Binary.com,an0n-j,1,1,72,13370
